https://jira-auto.codecool.metastage.net/browse/MTP-1,MTP-1
https://jira-auto.codecool.metastage.net/browse/COALA-1,COALA-1
https://jira-auto.codecool.metastage.net/browse/COALA-2,COALA-2
https://jira-auto.codecool.metastage.net/browse/COALA-3,COALA-3
https://jira-auto.codecool.metastage.net/browse/JETI-1,JETI-1
https://jira-auto.codecool.metastage.net/browse/JETI-2,JETI-2
https://jira-auto.codecool.metastage.net/browse/JETI-3,JETI-3
https://jira-auto.codecool.metastage.net/browse/TOUCAN-1,TOUCAN-1
https://jira-auto.codecool.metastage.net/browse/TOUCAN-2,TOUCAN-2
https://jira-auto.codecool.metastage.net/browse/TOUCAN-3,TOUCAN-3
